ID,EMF_sp,Synonymia,Reference_original,Introduced_only,Plantation_only,Invasion_mature,Invasion_front,Host,Field_sample,Greenhouse_sample,Introduced_to,Stand_mean_age_years,Mean_altitude_m,LAT_decimal,LON_decimal,N_g/kg,pH,SOC_g/kg,Annual_mean_temperature_°C,Annual_precipitation_mm,Type_of_ecosystem ,Observations 
215,Scleroderma albidum,Valid,Giachini et al. 2000,0,1,0,0,Pinus spp.,1,0,"Santa Catarina, Brazil",19,0,-26.3666667,-48.7166663888888,4.32,4.2,65.9,22,1700,Subtropical forest,Climatic variables and pH informed in the paper
216,Scleroderma areolatum,Valid,Barroetaveña et al. 2005,1,0,0,0,Pinus ponderosa,1,0,"Patagonia, Argentina",40,650,-42.9166667,-71.35,3.13,6.1,52.9,9.8,750,Steppe grassland,Climatic variables informed in the paper
217,Scleroderma bovista,Valid,Barroetaveña et al. 2005,1,0,0,0,Pinus ponderosa,1,0,"Patagonia, Argentina",40,650,-42.9166667,-71.35,3.13,6.1,52.9,9.8,750,Steppe grassland,Climatic variables informed in the paper
218,Scleroderma bovista,Valid,Birch 1937,1,0,0,0,Pinus radiata,1,0,"North Island, New Zealand ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some soil variables informed in the paper (C/N/P)
219,Scleroderma bovista,Valid,Chu-Chou & Grace 1983,0,1,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
220,Scleroderma bovista,Valid,Chu-Chou 1979,0,1,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
221,Scleroderma bovista,Valid,Giachini et al. 2000,0,1,0,0,Pinus spp.,1,0,"Santa Catarina, Brazil",19,0,-26.3666667,-48.7166663888888,4.32,4.2,65.9,22,1700,Subtropical forest,Climatic variables and pH informed in the paper
222,Scleroderma bovista,Valid,Giachini et al. 2000,0,1,0,0,Pinus spp.,1,0,"Santa Catarina, Brazil",19,0,-26.3666667,-48.7166663888888,4.32,4.2,65.9,22,1700,Subtropical forest,Climatic variables and pH informed in the paper
223,Scleroderma bovista,Valid,Giachini et al. 2004,0,1,0,0,Pinus taeda,1,0,"Santa Catarina, Brazil",9,800,-27.75,-49.5,3.11,4.8,36.6,16,1700,Subtropical forest,Climatic variables and pH informed in the paper
224,Scleroderma bovista,Valid,Gibson 1963,1,0,0,0,Pinus spp.,1,0,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
225,Scleroderma cepa,Valid,Lundquist 1986,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
226,Scleroderma citrinum,Valid,Chu-Chou & Grace 1983,0,1,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
227,Scleroderma citrinum,Valid,Chu-Chou 1979,0,1,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
228,Scleroderma citrinum,Valid,De Meijer 2001,1,0,0,0,Pinus sp.,1,0,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
229,Scleroderma citrinum,Valid,Garrido 1986,0,1,0,0,Pinus radiata,1,0,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
230,Scleroderma citrinum,Valid,Giachini et al. 2000,0,1,0,0,Pinus taeda,1,0,"Santa Catarina, Brazil",15,850,-27.5833333,-50.3666666666666,3.08,4.05,36.7,16,1700,Subtropical forest,Climatic variables and pH informed in the paper
231,Scleroderma citrinum,Valid,Giachini et al. 2004,0,1,0,0,Pinus spp.,1,0,"Santa Catarina, Brazil",9,800,-27.75,-49.5,3.11,4.8,36.6,16,1700,Subtropical forest,Climatic variables and pH informed in the paper
232,Scleroderma citrinum,Valid,Sobestiansky 2005,1,0,0,0,Pinus sp.,1,0,Brazil,40,565,-29.3666667,-51.1333333333333,2.68,5.6,28.1,17.2,1804,Subtropical forest,
233,Scleroderma floridanum,Valid,Giachini et al. 2000,0,1,0,0,Pinus spp.,1,0,"Santa Catarina, Brazil",19,0,-26.3666667,-48.7166663888888,4.32,4.2,65.9,22,1700,Subtropical forest,Climatic variables and pH informed in the paper
