ID,EMF_sp,Synonymia,Reference_original,Introduced_only,Plantation_only,Invasion_mature,Invasion_front,Host,Field_sample,Greenhouse_sample,Introduced_to,Stand_mean_age_years,Mean_altitude_m,LAT_decimal,LON_decimal,N_g/kg,pH,SOC_g/kg,Annual_mean_temperature_°C,Annual_precipitation_mm,Type_of_ecosystem ,Observations 
323,Suillus placidus,Valid,Keller 1992,1,0,0,0,Pinus cembra,1,0,Austria,NA,1350,47.0952778,10.82,4.74,5.4,87.9,NA,NA,NA,
324,Suillus placidus,Valid,Kreisel 1987,1,0,0,0,Pinus strobus,1,0,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
325,Suillus placidus,Valid,Krieglsteiner 1991,1,0,0,0,Pinus strobus,1,0,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
326,Suillus placidus,Valid,Legon & Henrici 2005,1,0,0,0,Pinus strobus,1,0,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
327,Suillus placidus,Valid,Rune 2007,1,0,0,0,Pinus cembra,1,0,Norway,NA,10,56.0293333,12.0506666666666,3.78,5.7,104.4,NA,NA,NA,
328,Suillus placidus,Valid,Rune 2007,1,0,0,0,Pinus strobus,1,0,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
329,Suillus placidus,Valid,Strandberg 1995,1,0,0,0,Pinus strobus,1,0,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
330,Suillus punctipes,Valid,Estadès & Lannoy 2004,1,0,0,0,Pinus strobus,1,0,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
331,Suillus salmonicolor,Valid,Hemmes & Desjardin 2002,1,0,0,0,Pinus elliotti,1,0,"Hawaii, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
332,Suillus salmonicolor,Valid,Reid & Eicker 2000,0,1,0,0,Pinus sp. ,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
333,Suillus salmonicolor,Valid,Sobestiansky 2005,1,0,0,0,Pinus sp.,1,0,Brazil,40,565,-29.3666667,-51.1333333333333,2.68,5.6,28.1,17.2,1804,Subtropical forest,
334,Suillus salmonicolor,Valid,Watling & de Meijer 1997,0,1,0,0,Pinus spp.,1,0,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
335,Suillus sibiricus,Valid,Pegler 1977,1,0,0,0,Pinus patula,1,0,Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
336,Suillus subacerbus,Valid,McNabb 1968,1,0,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
